position,salary_grade_id
Accountant I,11
Accountant II,15
Accountant III,18
Accountant IV,22
Accounting Analyst,11
Accounting Clerk I,4
Accounting Clerk II,6
Accounting Clerk III,8
Accounting Machine Operator I,5
Accounting Machine Operator II,7
Accounting Machine Operator III,10
Accounts Liquidation Assistant,8
Accounts Liquidation Officer I,11
Accounts Liquidation Officer II,15
Accounts Liquidation Officer III,18
Accounts Liquidation Officer IV,22
Accounts Liquidation Officer V,24
Actuarial Researcher,9
Acupressure Technician,6
Administrative Aide I,1
Administrative Aide II,2
Administrative Aide III,3
Administrative Aide IV,4
Administrative Aide V,5
Administrative Aide VI,6
Administrative Assistant,8
Administrative Assistant I,7
Administrative Assistant II,8
Administrative Assistant III,9
Administrative Assistant IV,10
Administrative Assistant V,11
Administrative Assistant VI,12
Administrative Officer I,10
Administrative Officer I,11
Administrative Officer II,11
Administrative Officer II,15
Administrative Officer III,14
Administrative Officer III,18
Administrative Officer IV,15
Administrative Officer IV,22
Administrative Officer V,18
Administrative Officer V,24
Administrator I,28
Administrator II,29
Administrator III,30
Advertising Officer I,10
Advertising Officer II,14
Advertising Officer III,18
Advertising Officer IV,20
Aerial Photo Analyst I,12
Aerial Photo Analyst II,16
Agrarian Reform Program Officer I,11
Agrarian Reform Program Officer II,15
Agrarian Reform Program Technologist,10
Agricultural Center Chief I,18
Agricultural Center Chief II,20
Agricultural Center Chief III,22
Agricultural Center Chief IV,24
Agricultural Products Inspector I,6
Agricultural Products Inspector II,8
Agricultural Products Inspector III,11
Agricultural Technician I,6
Agricultural Technician II,8
Agricultural Technologist,10
Agriculturist I,11
Agriculturist II,15
Air Navigation Services Supervisor,25
Air Navigation System Specialist I,17
Air Navigation System Specialist II,18
Air Terminal Supervisor,15
Air Traffic Controller I,18
Air Traffic Controller II,19
Air Traffic Services Supervisor,25
Air-Conditioning Technician I,6
Air-Conditioning Technician II,8
Aircraft Maintenance Technologist I,11
Aircraft Maintenance Technologist II,15
Aircraft Maintenance Technologist III,18
Aircraft Mechanic I,6
Aircraft Mechanic II,8
Aircraft Mechanic III,11
Aircraft Mechanic IV,13
Airfield Power Technician I,4
Airfield Power Technician II,6
Airfield Power Technician III,9
Airfield Power Technician IV,11
Airfield Power Technician V,13
Airport Manager I,20
Airport Manager II,23
Airport Manager III,24
Airport Manager IV,26
Airport Project Supervisor,17
Airways Communications Services Supervisor,25
Airways Communicator I,17
Airways Communicator II,18
Ammunition Worker I,2
Ammunition Worker II,4
Animal Feed Control Officer,13
Animal Keeper I,4
Animal Keeper II,6
Animal Keeper III,9
Antenna Rigger,3
Aquacultural Technician I,6
Aquacultural Technician II,8
Aquacultural Technologist,10
Aquaculturist I,11
Aquaculturist II,15
Architect I,12
Architect II,16
Architect III,19
Architect IV,22
Architect V,24
Archivist I,10
Archivist II,14
Armorer I,2
Armorer II,4
Artificial Limb and Brace Maker I,4
Artificial Limb and Brace Maker II,6
Artificial Limb and Brace Maker III,9
Artist-Illustrator I,6
Artist-Illustrator II,8
Artist-Illustrator III,11
Assessment Clerk I,4
Assessment Clerk II,6
Assessment Clerk III,9
Assistant Cabinet Secretary,29
Assistant Chef,8
Assistant Chief Air Navigation System Specialist,23
Assistant Chief Air Traffic Controller,23
Assistant Chief Airways Communicator,23
Assistant Chief of Staff (OVP),29
Assistant Chief State Counsel,29
Assistant College Department Head,17
Assistant Commissioner of Internal Revenue,27
"Assistant Commissioner, Constitutional Commission",29
Assistant Court Administrator of the Supreme Court,30
Assistant Customs Operations Officer,9
Assistant Director-General,29
Assistant Executive Secretary,29
Assistant Financial Claims Examiner,7
Assistant General Manager,29
Assistant Government Corporate Counsel,29
Assistant Information Officer,8
Assistant Land Registration Examiner,7
Assistant Launch Service Supervisor,9
Assistant Mining Claims Examiner,7
Assistant National Cashier,22
Assistant Nutritionist-Dietitian,7
Assistant Ombudsman,29
Assistant Parole Officer,12
Assistant Press Secretary,29
Assistant Professor I,15
Assistant Professor II,16
Assistant Professor III,17
Assistant Professor IV,18
Assistant Provincial Warden,18
Assistant Regional Cabinet Secretary,27
Assistant Regional Executive Secretary,27
Assistant Registration Officer,8
Assistant Remote Sensing Technologist,8
Assistant Revenue Officer,9
Assistant Schools Division Superintendent,25
Assistant Scientist,24
Assistant Secondary School Principal I,17
Assistant Secondary School Principal II,18
Assistant Secondary School Principal III,19
Assistant Solicitor-General,29
Assistant Special School Principal,17
Assistant Statistical Coordination Officer,9
Assistant Statistician,9
Assistant Superintendent of Printing,25
Assistant Supervisor of Student Teaching,15
Assistant Teachersâ€™ Camp Superintendent,22
Assistant Traffic Operations Officer,8
Assistant Weather Services Chief,22
Associate Government Corporate Attorney I,18
Associate Government Corporate Attorney II,22
Associate Graft Investigation Officer I,15
Associate Graft Investigation Officer II,18
Associate Graft Investigation Officer III,22
Associate Justice,30
Associate Justice of the Supreme Court,31
"Associate Justice, Court of Appeals",30
"Associate Justice, Sandiganbayan",30
Associate Professor I,19
Associate Professor II,20
Associate Professor III,21
Associate Professor IV,22
Associate Professor V,23
Associate Prosecution Attorney I,18
Associate Prosecution Attorney II,22
Associate Public Attorney I,18
Associate Public Attorney II,22
Associate Scientist,25
Associate Solicitor I,18
Associate Solicitor II,22
Associate Solicitor III,25
Associate Special Prosecution Officer I,18
Associate Special Prosecution Officer II,22
Associate State Counsel I,18
Associate State Counsel II,22
Attache I,19
Attache II,22
Attorney I,16
Attorney II,18
Attorney III,21
Attorney IV,23
Attorney V,25
Attorney VI,26
Audio-Visual Aids Technician I,6
Audio-Visual Aids Technician II,8
Audio-Visual Aids Technician III,10
Audio-Visual Aids Technician IV,14
Audio-Visual Equipment Operator I,3
Audio-Visual Equipment Operator II,5
Audio-Visual Equipment Operator III,7
Auditing Systems Analyst,11
Auditing Systems Specialist I,13
Auditing Systems Specialist II,16
Automotive Equipment Inspector I,8
Automotive Equipment Inspector II,11
Autonomous Region Legislative Staff Assistant I,6
Autonomous Region Legislative Staff Assistant II,8
Autonomous Region Legislative Staff Officer I,11
Autonomous Region Legislative Staff Officer II,13
Autonomous Region Legislative Staff Officer III,16
Autonomous Region Legislative Staff Officer IV,19
Autonomous Region Legislative Staff Officer V,22
Autonomous Region Legislative Staff Officer VI,24
Auxiliary Machine Operator I,4
Auxiliary Machine Operator II,6
Auxiliary Machine Operator III,8
Auxiliary Machine Operator IV,11
Aviation Safety Regulation Officer I,11
Aviation Safety Regulation Officer II,15
Bacteriologist I,11
Bacteriologist II,15
Bacteriologist III,18
Bacteriologist IV,22
Bailiff I,5
Bailiff II,7
Bailiff III,10
Ballistician I,10
Ballistician II,14
Ballistician III,18
Ballistician IV,22
Ballistician V,24
Bandmaster,9
Barangay Health Aide,4
Barber,2
Bill Collector,5
Biological and Feed Products Inspector,8
Biologist I,11
Biologist II,15
Biologist III,18
Blacksmith I,4
Blacksmith II,6
Blacksmith Shop Foreman,9
Board Chairman I,28
Board Chairman II,29
Board Chairman III,30
Board Chairman IV,31
Board Governor,29
Board Member I,27
Board Member II,28
Board Member III,29
Board Member IV,30
Board Secretary I,14
Board Secretary II,17
Board Secretary III,20
Board Secretary IV,22
Board Secretary V,24
Board Secretary VI,25
Boatswain,4
Bookbinder I,2
Bookbinder II,4
Bookbinder III,7
Bookbinder IV,10
Bookkeeper,8
Botanist,11
Broadcast Operations Chief,24
Broadcast Operations Supervisor,19
Broadcast Operations Technician I,9
Broadcast Operations Technician II,11
Broadcast Operations Technician III,13
Broadcast Operator I,6
Broadcast Operator II,8
Broadcast Production Supervisor,19
Broadcast Program Producer-Announcer I,12
Broadcast Program Producer-Announcer II,16
Broadcast Program Producer-Announcer III,19
Broadcast Program Traffic Officer,9
Broadcast Station Manager,22
Budget Analyst,11
Budget and Management Analyst,11
Budget and Management Assistant,9
Budget and Management Specialist I,13
Budget and Management Specialist II,16
Budget Officer I,11
Budget Officer II,15
Budget Officer III,18
Budget Officer IV,22
Budget Officer V,24
Budget Specialist I,13
Budget Specialist II,16
Budgeting Aide,4
Budgeting Assistant,8
Building Inspector,11
Building Official,24
Building Pest Control Officer,7
Building Regulations Coordinator,19
Buyer I,4
Buyer II,6
Buyer III,9
Buyer IV,11
Buyer V,13
Cabin Crew Examiner I,11
Cabin Crew Examiner II,13
Cabinet Secretary,31
Cabinet Undersecretary,30
Carpenter Foreman,8
Carpenter General Foreman,10
Carpenter I,3
Carpenter II,5
Cartographer I,6
Cartographer II,8
Cartographer III,11
Cartographer IV,15
Cartographer V,19
Cash Clerk I,4
Cash Clerk II,6
Cash Clerk III,8
Cashier I,10
Cashier II,14
Cashier III,18
Cashier IV,22
Cashier V,24
Cemetery Caretaker,2
"Chairman, Constitutional Commission",31
"Chairman, Police Regional Appellate Board",27
Chancellor I,28
Chancellor II,29
Chancellor III,30
Chaplain,16
Chauffeur I,5
Chauffeur II,6
Chauffeur III,7
Chauffeur IV,8
Check Flight Radio Operator,11
Check Pilot I,19
Check Pilot II,21
Check Pilot III,22
Check Pilot IV,23
Chef,11
Chemist I,11
Chemist II,15
Chemist III,18
Chemist IV,22
Chemist V,24
Chief Accountant,24
Chief Administrative Officer,24
Chief Agrarian Reform Program Officer,24
Chief Agriculturist,24
Chief Air Navigation System Specialist,24
Chief Air Traffic Controller,24
Chief Airways Communicator,24
Chief Aquaculturist,24
Chief Archivist,24
Chief Auditing Systems Specialist,24
Chief Aviation Safety Regulation Officer,24
Chief Bookbinder,18
Chief Budget and Management Specialist,24
Chief Communications Development Officer,24
Chief Cooperatives Development Specialist,24
Chief Customs Operations Officer,24
Chief Defense Research Officer,24
Chief Economic Development Specialist,24
Chief Ecosystems Management Specialist,24
Chief Education Program Specialist,24
Chief Education Supervisor,24
Chief Electrotyper,18
Chief Emigrant Services Officer,24
Chief Energy Regulation Officer,24
Chief Environmental Management Specialist,24
Chief Executive Staff,28
Chief Fiber Development Officer,24
Chief Fidelity Bond Examiner,24
Chief Financial Management Specialist,24
Chief Fishing Regulations Officer,24
Chief Foreign Affairs Research Specialist,24
Chief Forest Management Specialist,24
Chief Geologist,24
Chief Health Program Officer,24
Chief Historic Sites Development Officer,24
Chief History Researcher,24
Chief Home Management Specialist,24
Chief Immigration Officer,24
Chief Industrial Design Specialist,24
Chief Insurance Specialist,24
Chief Investments Specialist,24
Chief Judicial Staff Officer,25
Chief Justice of the Supreme Court,32
Chief Justice Staff Head,29
Chief Labor and Employment Officer,24
Chief Language Researcher,24
Chief Legislative Staff Officer,25
Chief Local Treasury Examiner,24
Chief Manpower Development Officer,24
Chief Maritime Industry Development Specialist,24
Chief Meat Control Officer,24
Chief Metallurgist,24
Chief of Hospital I,24
Chief of Hospital II,25
Chief of Hospital III,26
Chief of Medical Professional Staff I,25
Chief of Medical Professional Staff II,26
"Chief of Mission, Class I",29
"Chief of Mission, Class II",27
Chief of Sanitarium I,24
Chief of Sanitarium II,25
Chief of Sanitarium III,26
Chief of Staff (OVP),30
Chief Parole Officer,25
Chief Penal Institution Program Officer,24
Chief Personnel Specialist,24
Chief Photoengraver,18
Chief Political Affairs Officer,26
Chief Postal Service Officer,24
Chief Pressman,18
Chief Probation Officer,24
Chief Professional Regulations Officer,24
Chief Prosecutor,30
Chief Public Attorney,30
Chief Public Utilities Regulation Officer,24
Chief Records Management Analyst,24
Chief Remote Sensing Technologist,24
Chief Revenue Officer I,20
Chief Revenue Officer II,21
Chief Revenue Officer III,22
Chief Revenue Officer IV,24
Chief Scholarship Affairs Officer,24
Chief Science Research Specialist,24
Chief Securities and Exchange Specialist,24
Chief Shipbuilding Specialist,24
Chief Shipping Operations Specialist,24
Chief Shrine Curator,24
Chief Sports and Games Regulation Officer,24
Chief State Counsel,30
Chief Tariff Specialist,24
Chief Tax Specialist,24
Chief Technical Audit Specialist,24
Chief Technical Education and Skills Development Specialist,24
Chief Telegraphic Transfer Service Officer,24
Chief Tourism Operations Officer,24
Chief Trade-Industry Development Specialist,24
Chief Transportation Development Officer,24
Chief Transportation Regulation Officer,24
Chief Treasury Operations Officer I,21
Chief Treasury Operations Officer I,22
Chief Treasury Operations Officer II,24
Chief Typesetter,18
Chief Veterans Assistance Officer,24
Chief Volunteer Service Officer,24
Chief Water Resources Development Officer,24
Cinematographer I,10
Cinematographer II,14
Cinematographer III,16
Cinematographer IV,18
City Government Assistant Department Head I,23
City Government Assistant Department Head II,24
City Government Assistant Department Head III,25
City Government Department Head I,25
City Government Department Head II,26
City Government Department Head III,27
City Government Office Head,26
City Health Officer I,24
City Health Officer II,25
City Health Officer III,26
City Mayor,30
City Trial Court Judge,27
City Vice Mayor I,26
City Vice Mayor II,28
Civil Defense Assistant,8
Civil Defense Officer I,11
Civil Defense Officer II,15
Civil Defense Officer III,18
Civil Defense Officer IV,22
Civil Defense Officer V,24
Clearing Officer,11
Clerk I,3
Clerk II,4
Clerk III,6
Clerk IV,8
Clerk of Court I,15
Clerk of Court II,18
Clerk of Court III,22
Clerk of Court IV,23
Clerk of Court V,24
Clerk of Court VI,25
Clerk of Court VII,26
Clerk of the Commission,27
Clerk of the Electoral Tribunal,30
Clothes Designer,8
Collector of Customs I,21
Collector of Customs II,22
Collector of Customs III,23
Collector of Customs IV,24
Collector of Customs V,25
Collector of Customs VI,26
College Administrator I,25
College Administrator II,26
College Business Manager I,16
College Business Manager II,19
College Business Manager III,22
College Business Manager IV,24
College Department Head,20
College Librarian I,13
College Librarian II,15
College Librarian III,18
College Librarian IV,22
College Librarian V,24
College Professor,29
Color Separation Technician I,6
Color Separation Technician II,8
Commission Chairman I,28
Commission Chairman II,29
Commission Chairman III,30
Commission Chairman IV,31
Commission Member I,27
Commission Member II,28
Commission Member III,29
Commission Member IV,30
Commissioner I,28
Commissioner II,29
Commissioner III,30
Commissioner of Customs,30
Commissioner of Internal Revenue,30
"Commissioner, Constitutional Commission",30
Communications Development Officer I,11
Communications Development Officer II,15
Communications Equipment Inspector I,8
Communications Equipment Inspector II,11
Communications Equipment Operator I,4
Communications Equipment Operator II,6
Communications Equipment Operator III,9
Communications Equipment Operator IV,11
Communications Equipment Operator V,13
Community Affairs Assistant I,5
Community Affairs Assistant II,8
Community Affairs Officer I,11
Community Affairs Officer II,15
Community Affairs Officer III,18
Community Affairs Officer IV,22
Community Affairs Officer V,24
Community Development Assistant I,7
Community Development Assistant II,9
Community Development Officer I,11
Community Development Officer II,15
Community Development Officer III,18
Community Development Officer IV,22
Community Development Officer V,24
Community Environment and Natural Resources Officer,24
Computer File Librarian I,8
Computer File Librarian II,10
Computer File Librarian III,12
Computer Maintenance Technologist I,11
Computer Maintenance Technologist II,15
Computer Maintenance Technologist III,17
Computer Operator I,7
Computer Operator II,9
Computer Operator III,12
Computer Operator IV,14
Computer Programmer I,11
Computer Programmer II,15
Computer Programmer III,18
Conciliator,25
Conciliator-Mediator,25
Construction and Maintenance Capataz,5
Construction and Maintenance Foreman,8
Construction and Maintenance General Foreman,11
Construction and Maintenance Man,2
Construction Equipment Operator,4
Contested Ballot Box Custodian I,8
Contested Ballot Box Custodian II,10
Cook I,3
Cook II,5
Cooperatives Development Specialist I,11
Cooperatives Development Specialist II,15
Copy Reader,7
Copyright Examiner,11
Core Driller I,3
Core Driller II,5
Council Chairman I,28
Council Chairman II,29
Council Chairman III,30
Council Chairman IV,31
Council Member I,27
Council Member II,28
Council Member III,29
Council Member IV,30
Counsellor,26
Court Administrator of the Supreme Court,30
Court Attorney I,22
Court Attorney II,23
Court Attorney III,24
Court Attorney IV,25
Court Attorney V,26
Court Attorney VI,27
Court Legal Researcher I,12
Court Legal Researcher II,15
Court Legal Researcher III,18
Court of Appeals Reporter I,26
Court of Appeals Reporter II,27
Court Secretary I,14
Court Secretary II,17
Court Stenographer I,8
Court Stenographer II,10
Court Stenographer III,12
Court Stenographer IV,14
Coxswain,3
Crafts and Trades Helper,1
Crafts Education Demonstrator I,10
Crafts Education Demonstrator II,12
Creative Arts Specialist I,11
Creative Arts Specialist II,15
Creative Arts Specialist III,18
Creative Arts Specialist IV,22
Creative Arts Specialist V,24
Credit Officer I,9
Credit Officer II,11
Credit Officer III,15
Credit Officer IV,18
Crime Investigator I,11
Crime Investigator II,15
Crime Investigator III,18
Crime Investigator IV,22
Crime Investigator V,24
Cryptanalyst,11
Customs Gatekeeper,3
Customs Operations Officer I,11
Customs Operations Officer II,13
Customs Operations Officer III,16
Customs Operations Officer IV,18
Customs Operations Officer V,20
Cutter Service Supervisor,24
Dairy Plant Superintendent,15
Dangerous Drugs Regulation Officer I,11
Dangerous Drugs Regulation Officer II,15
Dangerous Drugs Regulation Officer III,18
Dangerous Drugs Regulation Officer IV,22
Dangerous Drugs Regulation Officer V,24
Data Controller I,6
Data Controller II,8
Data Controller III,11
Data Controller IV,13
Data Entry Machine Operator I,6
Data Entry Machine Operator II,8
Data Entry Machine Operator III,11
Data Entry Machine Operator IV,13
Day Care Worker I,6
Day Care Worker II,8
Deeds Registry Inspector I,16
Deeds Registry Inspector II,18
Deeds Registry Inspector III,21
Deeds Registry Inspector IV,23
Deeds Registry Inspector V,25
Defense Research Officer I,11
Defense Research Officer II,15
Dental Aide,4
Dental Hygienist,10
Dental Program Supervisor,22
Dentist I,13
Dentist II,16
Dentist III,19
Dentist IV,22
Dentist V,24
Dentist VI,26
Dentist VII,28
Department Assistant Secretary,29
Department Legislative Liaison Officer,29
Department Legislative Liaison Specialist,22
Department Secretary,31
Department Undersecretary,30
Deputy Administrator I,27
Deputy Administrator II,28
Deputy Administrator III,29
Deputy Chief Public Attorney,29
Deputy Clerk of the Electoral Tribunal,29
Deputy Commissioner I,27
Deputy Commissioner II,28
Deputy Commissioner III,29
Deputy Commissioner of Customs,28
Deputy Commissioner of Internal Revenue,28
Deputy Court Administrator of the Supreme Court,30
Deputy Director-General,30
Deputy Executive Director I,25
Deputy Executive Director II,26
Deputy Executive Director III,27
Deputy Executive Director IV,28
Deputy Executive Director V,29
Deputy Executive Secretary,30
Deputy Government Corporate Counsel,29
Deputy Insurance Commissioner,27
Deputy Ombudsman,30
Deputy Press Secretary,30
Deputy Regional Governor,29
Deputy Register of Deeds I,19
Deputy Register of Deeds II,21
Deputy Register of Deeds III,23
Deputy Register of Deeds IV,25
Deputy Secretary of the Commission on Appointments,30
Deputy Secretary of the House Electoral Tribunal,29
Deputy Secretary of the Senate,30
Deputy Secretary of the Senate Electoral Tribunal,29
Deputy Secretary-General of the House of Representatives,30
Deputy Special Prosecutor,29
Deputy Treasurer of the Philippines,29
Development Management Officer I,11
Development Management Officer II,15
Development Management Officer III,18
Development Management Officer IV,22
Development Management Officer V,24
Dietary Adviser,22
Director I,25
Director II,26
Director III,27
Director IV,28
Director V,29
Director VI,30
Director-General,31
Disbursing Officer I,6
Disbursing Officer II,8
District Engineer,25
District Health Officer I,25
District Health Officer II,26
Docking and Rigging Foreman,8
Dockman-Diver I,3
Dockman-Diver II,5
Dockman-Rigger I,2
Dockman-Rigger II,4
Document Examiner I,10
Document Examiner II,14
Document Examiner III,18
Document Examiner IV,22
Document Examiner V,24
Dormitory Attendant,3
Dormitory Manager I,9
Dormitory Manager II,11
Dormitory Manager III,15
Dormitory Manager IV,18
Draftsman I,6
Draftsman II,8
Draftsman III,11
Draftsman IV,14
Dredge Master I,13
Dredge Master II,17
Dredge Master III,20
Dredge Master IV,23
Dredgeman Foreman,8
Dredgeman I,3
Dredgeman II,5
Driver Courier I,4
Driver Courier II,6
Driver I,3
Driver II,4
Driving Skills Rater,8
Economic Development Analyst,11
Economic Development Specialist I,13
Economic Development Specialist II,16
Economic Researcher,9
Economist I,11
Economist II,15
Economist III,18
Economist IV,22
Economist V,24
Ecosystems Management Specialist I,11
Ecosystems Management Specialist II,15
Education Program Specialist I,12
Education Program Specialist II,16
Education Research Assistant I,9
Education Research Assistant II,10
Education Supervisor I,19
Education Supervisor I,21
Education Supervisor II,20
Education Supervisor II,22
Education Supervisor III,22
Election Assistant I,7
Election Assistant II,9
Election Field Officer,21
Election Officer I,12
Election Officer II,15
Election Officer III,18
Election Officer IV,21
Election Precincts Analyst I,10
Election Precincts Analyst II,14
Electrical Inspector I,6
Electrical Inspector II,8
Electrician Foreman,9
Electrician General Foreman,11
Electrician I,4
Electrician II,6
Electron Microscopist,19
Electronics and Communications Equipment Technician I,6
Electronics and Communications Equipment Technician II,8
Electronics and Communications Equipment Technician III,11
Electronics and Communications Equipment Technician IV,15
Electrotyper I,4
Electrotyper II,6
Electrotyper III,9
Electrotyper IV,11
Elementary School Principal I,19
Elementary School Principal II,20
Elementary School Principal III,21
Elementary School Principal IV,22
Emigrant Services Officer I,11
Emigrant Services Officer II,15
Energy Regulation Assistant,8
Energy Regulation Officer I,11
Energy Regulation Officer II,15
Engineer I,12
Engineer II,16
Engineer III,19
Engineer IV,22
Engineer V,24
Engineering Aide,4
Engineering Assistant,8
Entomologist I,11
Entomologist II,15
Entomologist III,18
Environmental Management Researcher,9
Environmental Management Specialist I,11
Environmental Management Specialist II,15
Equine Evaluator,5
Executive Assistant I,14
Executive Assistant II,17
Executive Assistant III,20
Executive Assistant IV,22
Executive Assistant V,24
Executive Assistant VI,25
Executive Clerk of Court I,26
Executive Clerk of Court II,27
Executive Clerk of Court III,28
Executive Clerk of Court IV,29
Executive Clerk of Court V,30
Executive Conciliator-Mediator,26
Executive Director I,26
Executive Director II,27
Executive Director III,28
Executive Director IV,29
Executive Director V,30
Executive News Editor,24
Executive Secretary,31
Fabric Worker I,3
Fabric Worker II,5
Farm Foreman,6
Farm Superintendent I,11
Farm Superintendent II,15
Farm Superintendent III,18
Farm Supervisor,8
Farm Worker I,2
Farm Worker II,4
Fiber Development Officer I,11
Fiber Development Officer II,15
Fiber Technician,6
Fidelity Bond Examiner I,10
Fidelity Bond Examiner II,14
Film Custodian I,4
Film Custodian II,6
Film Editor I,7
Film Editor II,9
Film Preview Assistant I,7
Film Preview Assistant II,9
Financial Analyst I,11
Financial Analyst II,15
Financial Analyst III,18
Financial Analyst IV,22
Financial Analyst V,24
Financial and Management Officer I,22
Financial and Management Officer II,24
Financial Claims Examiner I,10
Financial Claims Examiner II,14
Financial Claims Examiner III,18
Fingerprint Examiner I,7
