position,salary_grade_id
Fingerprint Examiner II,9
Fingerprint Examiner III,11
Fingerprint Examiner IV,15
Fingerprint Examiner V,18
Fingerprinting Aide,4
Fire Marshall I,18
Fire Marshall II,22
Firearms and Explosives Inspector I,6
Firearms and Explosives Inspector II,8
Firearms and Explosives Processor I,6
Firearms and Explosives Processor II,8
Firearms and Explosives Processor III,10
Firearms and Explosives Processor IV,14
Firearms and Explosives Production Coordinator,18
Firefighter I,6
Firefighter II,8
Firefighter III,10
Firefighter IV,14
First Mate,20
Fiscal Clerk I,4
Fiscal Clerk II,6
Fiscal Clerk III,8
Fiscal Controller I,11
Fiscal Controller II,15
Fiscal Controller III,18
Fiscal Controller IV,22
Fiscal Controller V,24
Fiscal Examiner I,11
Fiscal Examiner II,15
Fiscal Examiner III,18
Fiscal Examiner IV,22
Fiscal Examiner V,24
Fish Port Supervisor,15
Fisherman,3
Fishing Regulations Officer I,11
Fishing Regulations Officer II,15
Floating Crane Master,10
Food Service Manager,22
Food Service Supervisor I,9
Food Service Supervisor II,11
Food Service Supervisor III,15
Food Service Supervisor IV,18
Food Technologist I,10
Food Technologist II,14
Food Technologist III,18
Food-Drug Inspector,8
Food-Drug Regulation Officer I,11
Food-Drug Regulation Officer II,15
Food-Drug Regulation Officer III,18
Food-Drug Regulation Officer IV,22
Food-Drug Regulation Officer V,24
Foreign Affairs Adviser,22
Foreign Affairs Research Specialist I,11
Foreign Affairs Research Specialist II,15
"Foreign Service Officer, Class I",25
"Foreign Service Officer, Class II",24
"Foreign Service Officer, Class III",23
"Foreign Service Officer, Class IV",22
Foreign Service Staff Employee I,9
Foreign Service Staff Employee II,7
Foreign Service Staff Employee III,5
Foreign Service Staff Officer I,22
Foreign Service Staff Officer II,18
Foreign Service Staff Officer III,15
Foreign Service Staff Officer IV,11
"Foreign Trade Service Officer, Class I",25
"Foreign Trade Service Officer, Class II",24
"Foreign Trade Service Officer, Class III",23
"Foreign Trade Service Officer, Class IV",22
Foreign Trade Service Staff Officer,15
Forest Management Specialist I,11
Forest Management Specialist II,15
Forest Ranger,4
Forest Technician I,6
Forest Technician II,8
Forester I,11
Forester II,15
Forester III,18
Forester IV,22
Forester V,24
Foundry Foreman,9
Foundry General Foreman,11
Foundry Worker I,4
Foundry Worker II,6
Freight Service Foreman,6
Freight Service Supervisor I,10
Freight Service Supervisor II,13
Fumigation Assistant Supervisor,9
Fumigation Supervisor,11
Fumigator,4
Fumigator Foreman,6
General Manager,30
Geologic Aide,4
Geologist I,11
Geologist II,15
Geophysicist I,11
Geophysicist II,15
Geophysicist III,18
Geophysicist IV,22
Geophysicist V,24
Government Corporate Attorney I,25
Government Corporate Attorney II,26
Government Corporate Attorney III,27
Government Corporate Attorney IV,28
Government Corporate Counsel,30
Graft Investigation Officer I,26
Graft Investigation Officer II,27
Graft Investigation Officer III,28
Graft Prevention and Control Officer I,11
Graft Prevention and Control Officer II,15
Graft Prevention and Control Officer III,18
Graft Prevention and Control Officer IV,22
Graft Prevention and Control Officer V,24
Guesthouse Caretaker,2
Guidance Coordinator I,13
Guidance Coordinator II,14
Guidance Coordinator III,15
Guidance Counselor I,10
Guidance Counselor II,11
Guidance Counselor III,12
Guidance Services Associate I,12
Guidance Services Associate II,14
Guidance Services Specialist I,16
Guidance Services Specialist II,18
Guidance Services Specialist III,20
Guidance Services Specialist IV,22
Guidance Services Specialist V,24
Handicraft Worker I,3
Handicraft Worker II,5
Handicraft Worker III,8
Harbor Operations Assistant,10
Head Civil Service Field Officer,26
Head Executive Assistant,27
Head Pressman,13
Head Teacher I,14
Head Teacher II,15
Head Teacher III,16
Head Teacher IV,
Head Teacher V,
Head Teacher VI,
Health Education and Promotion Adviser,22
Health Education and Promotion Officer I,10
Health Education and Promotion Officer II,14
Health Education and Promotion Officer III,18
Health Education and Promotion Officer IV,22
Health Education and Promotion Officer V,24
Health Physicist I,15
Health Physicist II,18
Health Physicist III,22
Health Physicist IV,24
Health Physics Technician,6
Health Program Officer I,11
Health Program Officer II,15
Health Program Researcher,9
Health Program Researcher Assistant,7
Heavy Equipment Operator I,4
Heavy Equipment Operator II,6
Heavy Equipment Operator III,9
Historic Sites Development Officer I,11
Historic Sites Development Officer II,15
History Researcher I,10
History Researcher II,14
Home Management Specialist I,11
Home Management Specialist II,15
Home Management Technologist,10
Hospital Administration Specialist,22
Hospital Housekeeper,8
Household Attendant I,3
Household Attendant II,5
Household Attendant III,8
Household Manager,10
Houseparent I,4
Houseparent II,6
Houseparent III,9
Houseparent IV,11
Housing and Homesite Regulation Assistant,8
Housing and Homesite Regulation Officer I,11
Housing and Homesite Regulation Officer II,13
Housing and Homesite Regulation Officer III,16
Housing and Homesite Regulation Officer IV,19
Housing and Homesite Regulation Officer V,22
Housing and Homesite Regulation Officer VI,24
Human Resource Management Aide,4
Human Resource Management Assistant,8
Human Resource Management Officer I,11
Human Resource Management Officer II,15
Human Resource Management Officer III,18
Human Resource Management Officer IV,22
Human Resource Management Officer V,24
Identification Officer I,22
Identification Officer II,24
Illustrator I,3
Illustrator II,5
Immigration Assistant,8
Immigration Officer I,11
Immigration Officer II,13
Immigration Officer III,16
Industrial Design Analyst,11
Industrial Design Specialist,15
Industrial Project Training Supervisor,18
Information Officer I,11
Information Officer II,15
Information Officer III,18
Information Officer IV,22
Information Officer V,24
Information Systems Analyst I,12
Information Systems Analyst II,16
Information Systems Analyst III,19
Information Systems Researcher I,10
Information Systems Researcher II,14
Information Systems Researcher III,17
Information Technology Officer I,19
Information Technology Officer II,22
Information Technology Officer III,24
Inmate Guidance Chief,24
Inmate Guidance Officer I,11
Inmate Guidance Officer II,15
Inspector-General,29
Instructor I,12
Instructor II,13
Instructor III,14
Instrumentman,5
Insurance Commissioner,28
Insurance Specialist I,11
Insurance Specialist II,15
Intellectual Property Rights Specialist I,14
Intellectual Property Rights Specialist II,17
Intellectual Property Rights Specialist III,20
Intellectual Property Rights Specialist IV,23
Intellectual Property Rights Specialist V,25
Intelligence Agent Aide,4
Intelligence Agent I,8
Intelligence Agent II,10
Intelligence Officer I,11
Intelligence Officer II,15
Intelligence Officer III,18
Intelligence Officer IV,22
Intelligence Officer V,24
Internal Auditing Assistant,8
Internal Auditor I,11
Internal Auditor II,15
Internal Auditor III,18
Internal Auditor IV,22
Internal Auditor V,24
International Civil Aviation Coordinator,20
International Science Relations Officer I,10
International Science Relations Officer II,14
International Science Relations Officer III,18
International Science Relations Officer IV,22
International Science Relations Officer V,24
Interpreter I,8
Interpreter II,10
Interpreter III,12
Investigation Agent I,18
Investigation Agent II,20
Investigation Agent III,22
Investigation Agent IV,23
Investigation Agent V,24
Investigation Agent VI,25
Investments Analyst,11
Investments Specialist,15
Judicial Staff Assistant II,9
Judicial Staff Assistant III,10
Judicial Staff Employee II,4
Judicial Staff Head,28
Judicial Staff Officer III,18
Judicial Staff Officer IV,19
Judicial Staff Officer V,20
Judicial Staff Officer VI,22
Junior Process Server,3
Junior Scholarship Affairs Officer,11
Jurisconsult,30
Labor and Employment Assistant,8
Labor and Employment Officer I,11
Labor and Employment Officer II,13
Labor and Employment Officer III,16
Labor Arbiter,29
Labor Arbitration Associate,22
Labor Foreman,6
Labor General Foreman,8
Laboratory Aide I,2
Laboratory Aide II,4
Laboratory Inspector I,8
Laboratory Inspector II,10
Laboratory Inspector III,14
Laboratory Technician I,6
Laboratory Technician II,8
Laboratory Technician III,10
Laborer I,1
Laborer II,3
Land Management Examiner,10
Land Management Inspector,6
Land Management Officer I,11
Land Management Officer II,15
Land Management Officer III,18
Land Management Officer IV,22
Land Management Officer V,24
Land Registration Examiner I,10
Land Registration Examiner II,14
Landscaping Supervisor,12
Language Researcher I,10
Language Researcher II,14
Launch Patron,7
Launch Service Supervisor,12
Laundry Worker I,1
Laundry Worker II,3
Laundry Worker III,6
Law Education Specialist I,16
Law Education Specialist II,18
Law Education Specialist III,20
Law Education Specialist IV,22
Law Education Specialist V,24
Law Enforcement Evaluation Officer I,11
Law Enforcement Evaluation Officer II,15
Law Enforcement Evaluation Officer III,18
Law Enforcement Evaluation Officer IV,22
Law Enforcement Evaluation Officer V,24
Law Reform Associate I,12
Law Reform Associate II,14
Law Reform Specialist I,16
Law Reform Specialist II,18
Law Reform Specialist III,20
Law Reform Specialist IV,22
Law Reform Specialist V,24
Law Reform Specialist VI,26
Legal Aide,5
Legal Assistant I,10
Legal Assistant II,12
Legal Officer I,14
Legal Officer II,17
Legal Officer III,20
Legal Officer IV,22
Legal Officer V,24
Legislative Committee Researcher,21
Legislative Committee Secretary,23
Legislative Staff Assistant I,7
Legislative Staff Assistant II,10
Legislative Staff Assistant III,11
Legislative Staff Employee I,4
Legislative Staff Employee II,6
Legislative Staff Head,29
Legislative Staff Officer I,14
Legislative Staff Officer II,16
Legislative Staff Officer III,19
Legislative Staff Officer IV,20
Legislative Staff Officer V,21
Legislative Staff Officer VI,22
Letter Carrier,6
Librarian Aide,2
Librarian I,10
Librarian II,14
Librarian III,18
Librarian IV,22
Librarian V,24
License Inspector I,6
License Inspector II,8
Licensing Officer I,11
Licensing Officer II,15
Licensing Officer III,18
Licensing Officer IV,22
Licensing Officer V,24
Lifeguard,3
Light Equipment Operator,2
Lighthouse Inspector,11
Lighthouse Keeper I,3
Lighthouse Keeper II,5
Lighthouse Service Supervisor,15
Lineman I,3
Lineman II,5
Lineman III,8
Lineman IV,11
Linguistics Specialist,23
Livestock Inspector I,6
Livestock Inspector II,8
Livestock Inspector III,11
Loan Examiner I,9
Loan Examiner II,11
Loan Examiner III,15
Loan Examiner IV,18
Local Assessment Operations Officer I,11
Local Assessment Operations Officer II,15
Local Assessment Operations Officer III,18
Local Assessment Operations Officer IV,22
Local Assessment Operations Officer V,24
Local Government Operations Officer I,11
Local Government Operations Officer II,13
Local Government Operations Officer III,15
Local Government Operations Officer IV,18
Local Government Operations Officer V,20
Local Government Operations Officer VI,22
Local Government Operations Officer VII,24
Local Government Operations Officer VIII,26
Local Legislative Staff Assistant I,6
Local Legislative Staff Assistant II,8
Local Legislative Staff Assistant III,10
Local Legislative Staff Employee I,2
Local Legislative Staff Employee II,4
Local Legislative Staff Officer I,11
Local Legislative Staff Officer II,13
Local Legislative Staff Officer III,16
Local Legislative Staff Officer IV,19
Local Legislative Staff Officer V,22
Local Legislative Staff Officer VI,24
Local Revenue Collection Officer I,11
Local Revenue Collection Officer II,15
Local Revenue Collection Officer III,18
Local Revenue Collection Officer IV,22
Local Revenue Collection Officer V,24
Local Treasury Examiner I,11
Local Treasury Examiner II,15
Local Treasury Operations Assistant,8
Local Treasury Operations Officer I,11
Local Treasury Operations Officer II,15
Local Treasury Operations Officer III,18
Local Treasury Operations Officer IV,22
Local Treasury Operations Officer V,24
Logistics Management Officer I,11
Logistics Management Officer II,15
Logistics Management Officer III,18
Logistics Management Officer IV,22
Logistics Management Officer V,24
Lumber Grader,5
Lupon Chairman,27
Lupon Member,26
Machine Shop Foreman,11
Machinist I,4
Machinist II,6
Machinist III,9
Magnetic Recorder Operator I,6
Magnetic Recorder Operator II,8
Magnetic Recorder Operator III,11
Mail Sorter,4
Make-up Artist,2
Malacologist I,11
Malacologist II,15
Malaria Control Foreman,7
Management and Audit Analyst I,11
Management and Audit Analyst II,15
Management and Audit Analyst III,18
Management and Audit Analyst IV,22
Management and Audit Analyst V,24
Management and Audit Assistant,8
Management Specialist I,13
Management Specialist II,16
Managing News Editor,22
Manpower Development Assistant,8
Manpower Development Officer I,11
Manpower Development Officer II,15
Manpower Development Regional Coordinator,25
Marine Engineman I,4
Marine Engineman II,6
Maritime Industry Development Assistant,8
Maritime Industry Development Specialist I,11
Maritime Industry Development Specialist II,15
Market Inspector I,6
Market Inspector II,8
Market Specialist I,11
Market Specialist II,15
Market Specialist III,18
Market Specialist IV,22
Market Specialist V,24
Market Supervisor I,10
Market Supervisor II,14
Market Supervisor III,18
Market Supervisor IV,22
Market Supervisor V,24
Mason Foreman,8
Mason I,3
Mason II,5
Master Fisherman I,5
Master Fisherman II,8
Master Tailor I,5
Master Tailor II,8
Master Teacher I,18
Master Teacher II,19
Master Teacher III,20
Master Teacher IV,
Mathematician Aide I,6
Mathematician Aide II,8
Mathematician I,10
Mathematician II,14
Meat Control Officer I,13
Meat Control Officer II,16
Meat Inspector I,6
Meat Inspector II,8
Meat Inspector III,11
Mechanic I,4
Mechanic II,6
Mechanic III,9
Mechanical Plant Operator I,4
Mechanical Plant Operator II,6
Mechanical Plant Operator III,9
Mechanical Plant Supervisor I,11
Mechanical Plant Supervisor II,13
Mechanical Shop Foreman,11
Mechanical Shop General Foreman,13
Media Accreditation and Relations Officer I,11
Media Accreditation and Relations Officer II,15
Media Accreditation and Relations Officer III,18
Media Accreditation and Relations Officer IV,22
Media Accreditation and Relations Officer V,24
Media Production Aide,5
Media Production Assistant,8
Media Production Specialist I,11
Media Production Specialist II,15
Media Production Specialist III,18
Media Production Specialist IV,22
Media Production Specialist V,24
Mediator-Arbiter,25
Medical Center Chief I,26
Medical Center Chief II,27
Medical Equipment Technician I,6
Medical Equipment Technician II,8
Medical Equipment Technician III,11
Medical Equipment Technician IV,13
Medical Laboratory Technician I,6
Medical Laboratory Technician II,8
Medical Laboratory Technician III,10
Medical Officer I,14
Medical Officer II,16
Medical Officer III,18
Medical Officer IV,20
Medical Officer V,22
Medical Officer VI,24
Medical Officer VII,25
Medical Specialist I,21
Medical Specialist II,22
Medical Specialist III,23
Medical Specialist IV,24
Medical Specialist V,26
Medical Specialist VI,28
Medical Specialist VII,30
Medical Technologist I,11
Medical Technologist II,15
Medical Technologist III,18
Medical Technologist IV,20
Medical Technologist V,22
Medico-Legal Officer I,18
Medico-Legal Officer II,20
Medico-Legal Officer III,22
Medico-Legal Officer IV,24
Medico-Legal Officer V,25
Member of the House of Representatives,31
"Member, Constitutional Commission",30
"Member, Regional Assembly",29
Message Writer,15
Messenger,2
Metal Worker Foreman,9
Metal Worker General Foreman,11
Metal Worker I,4
Metal Worker II,6
Metallurgist I,11
Metallurgist II,15
Metals Technologist I,6
Metals Technologist II,8
Metals Technologist III,10
Metals Technologist IV,12
Metals Technologist V,14
Meter Reader I,4
Meter Reader II,6
Meter Reader III,9
Metro Aide I,2
Metro Aide II,4
Metro Trial Court Judge,28
Microfilming Machine Operator I,6
Microfilming Machine Operator II,8
Microfilming Machine Operator III,11
Midwife I,6
Midwife II,8
Midwife III,11
Midwife IV,13
Midwife V,15
Midwife VI,18
Midwifery School Principal I,21
Midwifery School Principal II,23
Mineral Analyst,11
Mining Claims Examiner I,10
Mining Claims Examiner II,14
Mining Claims Examiner III,18
Mining Operations Officer,24
Motor Pool Dispatcher,6
Motor Pool Supervisor I,7
Motor Pool Supervisor II,9
Motor Vehicle Inspector,6
Movie Equipment Technician I,6
Movie Equipment Technician II,8
Movie Equipment Technician III,11
Municipal Agrarian Reform Program Officer,20
Municipal Agricultural Officer,20
Municipal Circuit Trial Court Judge,26
Municipal Government Assistant Department Head I,22
Municipal Government Assistant Department Head II,23
Municipal Government Department Head I,24
Municipal Government Department Head II,25
Municipal Mayor I,27
Municipal Mayor II,28
Municipal Trial Court Judge,26
Municipal Vice Mayor I,25
Municipal Vice Mayor II,26
Munitions Operator Foreman,9
Munitions Operator General Foreman,11
Munitions Operator I,4
Munitions Operator II,6
Munitions Production Supervisor,12
Munitions Production Technician I,6
Munitions Production Technician II,8
Museum Curator I,22
Museum Curator II,24
Museum Guide,9
Museum Researcher I,10
Museum Researcher II,14
Museum Technician I,6
Museum Technician II,8
Music Director,11
Musician,5
National Cashier,24
National Intelligence Assistant I,8
National Intelligence Assistant II,10
National Intelligence Specialist I,11
National Intelligence Specialist II,15
National Intelligence Specialist III,18
National Intelligence Specialist IV,22
National Intelligence Specialist V,24
National Security Specialist I,12
National Security Specialist II,16
National Security Specialist III,19
National Security Specialist IV,22
National Security Specialist V,24
Nautical Writer I,6
Nautical Writer II,8
Network Controller I,8
Network Controller II,11
News Analyst I,11
News Analyst II,15
News Analyst III,18
News Analyst IV,22
News Editor I,12
News Editor II,16
News Reporter I,15
News Reporter II,17
Newscaster I,15
Newscaster II,17
Nurse I,10
Nurse II,14
Nurse III,16
Nurse IV,18
Nurse Maid I,2
Nurse Maid II,4
Nurse V,20
Nurse VI,22
Nurse VII,24
Nursing Adviser,22
Nursing Attendant I,4
Nursing Attendant II,6
Nursing School Principal I,21
Nursing School Principal II,22
Nursing School Principal III,23
Nutrition Officer I,10
Nutrition Officer II,14
Nutrition Officer III,18
Nutrition Officer IV,22
Nutrition Officer V,24
Nutrition Program Coordinator,25
Nutritionist-Dietitian I,10
Nutritionist-Dietitian II,14
Nutritionist-Dietitian III,18
Nutritionist-Dietitian IV,20
Nutritionist-Dietitian V,22
Nutritionist-Dietitian VI,24
Occupational Therapist I,10
Occupational Therapist II,14
Occupational Therapist III,18
Occupational Therapist IV,22
Occupational Therapy Technician I,6
Occupational Therapy Technician II,8
Oceanographer I,11
Oceanographer II,15
Oceanographer III,18
Oceanographer IV,22
Oceanographer V,24
Offset Camera Operator I,6
Offset Camera Operator II,8
Ombudsman,31
Optometrist I,11
Optometrist II,15
Ordnance Technician I,6
Ordnance Technician II,8
Ordnance Technician III,11
Overall Deputy Ombudsman,30
Overseas Employment Adjudicator,25
Overseas Worker Welfare Assistant,8
Overseas Worker Welfare Officer I,11
Overseas Worker Welfare Officer II,15
Overseas Worker Welfare Officer III,18
Overseas Worker Welfare Officer IV,22
Overseas Worker Welfare Officer V,24
Overseas Worker Welfare Officer VI,25
Painter Foreman,8
Painter General Foreman,10
Painter I,3
Painter II,5
Paper Cutting Machine Operator I,3
Paper Cutting Machine Operator II,5
Paper Cutting Machine Operator III,8
Park Attendant I,2
Park Attendant II,4
Park Attendant III,6
Park Maintenance Foreman,8
Park Maintenance General Foreman,10
Park Maintenance Supervisor,14
Park Operations Superintendent I,16
Park Operations Superintendent II,18
Park Operations Superintendent III,20
Park Operations Superintendent IV,22
Park Operations Superintendent V,24
Parking Aide I,2
Parking Aide II,4
Parking Aide III,6
Parking Aide IV,7
Parole Officer I,16
Parole Officer II,18
Patternmaker I,4
Patternmaker II,6
Peace Program Officer I,11
Peace Program Officer II,15
Peace Program Officer III,18
Peace Program Officer IV,22
Peace Program Officer V,24
Penal Institution Program Officer I,11
Penal Institution Program Officer II,15
Penal Institution Superintendent I,20
Penal Institution Superintendent II,22
Penal Institution Superintendent III,24
Penal Institution Superintendent IV,26
Penal Institution Supervisor,18
Personnel Analyst,11
Personnel Specialist I,13
Personnel Specialist II,16
Pest Control Technician,7
Pest Control Worker I,4
Pest Control Worker II,6
Pharmacist I,10
Pharmacist II,12
Pharmacist III,14
Pharmacist IV,18
Pharmacist V,20
Pharmacist VI,22
Pharmacist VII,24
Pharmacy Adviser,22
Pharmacy Program Supervisor,22
Philatelic Artist I,9
Philatelic Artist II,11
PHILJA Attorney III,24
PHILJA Attorney IV,25
PHILJA Attorney V,26
PHILJA Chancellor,31
PHILJA Deputy Executive Secretary,28
PHILJA Executive Secretary,29
PHILJA Professor I,29
PHILJA Professor II,30
PHILJA Vice-Chancellor,30
Phlebotomist,18
Photo Editor I,6
Photo Editor II,8
Photo Journalist I,6
Photo Journalist II,8
Photoengraver I,4
Photoengraver II,6
Photoengraver III,9
Photoengraver IV,11
Photographer I,5
Photographer II,7
Photographer III,10
Photographer IV,12
Photographer V,15
Photographer VI,18
Photographic Color Processor I,6
Photographic Color Processor II,8
Photographic Color Processor III,11
Photo-Lithographic Technician I,6
Photo-Lithographic Technician II,8
Physical Therapist I,10
Physical Therapist II,14
Physical Therapist III,18
Physical Therapist IV,22
Physical Therapy Technician I,6
Physical Therapy Technician II,8
Physicist I,11
Physicist II,15
Pilot I,18
Pilot II,20
Pipefitter Foreman,8
Pipefitter I,3
Pipefitter II,5
Planning Assistant,8
Planning Officer I,11
Planning Officer II,15
Planning Officer III,18
Planning Officer IV,22
Planning Officer V,24
Plumber Foreman,8
Plumber I,3
Plumber II,5
Plumbing and Tinning Inspector I,8
Plumbing and Tinning Inspector II,10
Police Inspector I,11
Police Inspector II,15
Police Inspector III,18
Police Inspector IV,22
Police Inspector V,24
Political Affairs Assistant I,7
Political Affairs Assistant II,10
Political Affairs Assistant III,11
Political Affairs Employee I,4
Political Affairs Employee II,6
Political Affairs Officer I,14
Political Affairs Officer II,16
Political Affairs Officer III,19
Political Affairs Officer IV,20
Political Affairs Officer V,21
Political Affairs Officer VI,24
Polygraph Examiner I,10
Polygraph Examiner II,14
Polygraph Examiner III,18
Polygraph Examiner IV,22
Polygraph Examiner V,24
Population Program Officer I,11
Population Program Officer II,15
Population Program Officer III,18
Population Program Officer IV,22
Population Program Officer V,24
Population Program Worker I,5
Population Program Worker II,7
Population Program Worker III,9
Population Programs Coordinator,24
Postage Stamps Custodian I,10
Postage Stamps Custodian II,14
Postage Stamps Custodian III,17
Postal Service Assistant,8
Postal Service Officer I,11
Postal Service Officer II,15
Postal Teller I,6
Postal Teller II,8
Postal Teller III,11
Postmaster I,10
Postmaster II,12
Postmaster III,14
Postmaster IV,17
Postmaster V,19
Postmaster VI,22
Postmaster VII,24
Poundkeeper I,3
Poundkeeper II,6
Precision Instrument Technician I,6
Precision Instrument Technician II,8
Precision Instrument Technician III,11
President of the Philippines,33
President of the Senate,32
Presidential Adviser,31
Presidential Adviser on Legislative Affairs,31
Presidential Assistant I,30
Presidential Assistant II,31
Presidential Legislative Adviser,30
Presidential Legislative Assistant,30
Presidential Legislative Liaison Officer I,24
Presidential Legislative Liaison Officer II,28
Presidential Legislative Liaison Officer III,29
Presidential Protocol Officer,28
Presidential Spokesman,31
Presidential Staff Assistant,10
Presidential Staff Officer I,11
Presidential Staff Officer II,13
Presidential Staff Officer III,16
Presidential Staff Officer IV,19
Presidential Staff Officer V,22
Presidential Staff Officer VI,24
Presiding Justice,31
"Presiding Justice, Court of Appeals",31
"Presiding Justice, Sandiganbayan",31
Press Roller Maker I,3
Press Roller Maker II,5
Press Secretary,31
Press-Proof Revisor,8
Printing Foreman,9
Printing Machine Operator I,4
Printing Machine Operator II,6
Printing Machine Operator III,9
Printing Machine Operator IV,11
Printing Operations Assistant Chief,22
Printing Operations Chief,24
Printing Order Writer I,6
Printing Order Writer II,8
